,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-6,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9166666666666667,0.9047619047619047,1.0,0.9714285714285714,0.9166666666666667,0.8571428571428572,0.8979591836734693,0.6847826086956521,0.6013513513513513,0.2833333333333333,0.1148936170212766,0.060836501901140684,0.013404825737265416,0.002857142857142857,0.008174386920980926,0.0030120481927710845,0.0035335689045936395,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9523809523809523,1.0,0.9714285714285714,0.9722222222222223,0.9142857142857144,0.9183673469387754,0.826086956521739,0.75,0.6,0.2936170212765957,0.1444866920152091,0.04289544235924933,0.014285714285714285,0.010899182561307902,0.0030120481927710845,0.007067137809187279,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9523809523809523,1.0,0.9714285714285714,0.9722222222222223,0.9714285714285715,0.9591836734693877,0.9130434782608694,0.8918918918918919,0.8166666666666667,0.5914893617021276,0.27756653992395436,0.14745308310991956,0.05142857142857143,0.01634877384196185,0.009036144578313254,0.014134275618374558,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9523809523809523,1.0,0.9714285714285714,1.0,0.9714285714285715,1.0,0.9565217391304346,0.9256756756756757,0.9055555555555556,0.7872340425531914,0.55893536121673,0.3297587131367292,0.12857142857142856,0.043596730245231606,0.03313253012048193,0.0176678445229682,0.0,0.0,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9523809523809523,1.0,0.9714285714285714,1.0,0.9714285714285715,1.0,0.9999999999999998,0.9391891891891891,0.9444444444444444,0.8978723404255318,0.8060836501901141,0.6621983914209115,0.3742857142857143,0.13623978201634876,0.06325301204819278,0.05653710247349823,0.010309278350515464,0.006329113924050633,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9523809523809523,1.0,0.9714285714285714,1.0,0.9714285714285715,1.0,0.9999999999999998,0.9662162162162162,0.9777777777777777,0.953191489361702,0.8669201520912547,0.8605898123324397,0.6714285714285715,0.33242506811989103,0.17771084337349397,0.10600706713780919,0.041237113402061855,0.02531645569620253,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,0.9714285714285715,1.0,0.9999999999999998,0.9864864864864865,0.9888888888888888,0.9829787234042552,0.9239543726235742,0.932975871313673,0.8314285714285715,0.6866485013623979,0.39156626506024095,0.2402826855123675,0.08762886597938144,0.04430379746835443,0.046511627906976744,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,0.9714285714285715,1.0,0.9999999999999998,0.9932432432432433,0.9944444444444444,0.9999999999999999,0.9695817490494296,0.9705093833780162,0.9028571428571429,0.8555858310626703,0.7198795180722891,0.4558303886925795,0.2268041237113402,0.10126582278481013,0.08527131782945736,0.010309278350515464,0.010416666666666666,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9523809523809523,1.0,1.0,1.0,0.9714285714285715,1.0,0.9999999999999998,0.9932432432432433,0.9944444444444444,0.9999999999999999,0.9809885931558935,0.9892761394101878,0.9485714285714286,0.9291553133514986,0.858433734939759,0.734982332155477,0.5103092783505154,0.24050632911392406,0.17054263565891473,0.10309278350515465,0.05208333333333333,0.05128205128205128,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285715,1.0,0.9999999999999998,1.0,0.9944444444444444,0.9999999999999999,0.988593155893536,0.9892761394101878,0.9742857142857143,0.9645776566757492,0.9216867469879518,0.8692579505300353,0.7474226804123711,0.47468354430379744,0.2868217054263566,0.16494845360824745,0.07291666666666666,0.05128205128205128,0.025974025974025976,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285715,1.0,0.9999999999999998,1.0,0.9944444444444444,0.9999999999999999,0.9923954372623573,0.997319034852547,0.9857142857142858,0.986376021798365,0.960843373493976,0.9328621908127208,0.8298969072164949,0.6392405063291139,0.5271317829457365,0.3608247422680413,0.21875,0.0641025641025641,0.07792207792207792,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9944444444444444,0.9999999999999999,0.9923954372623573,0.997319034852547,0.9942857142857143,0.994550408719346,0.9698795180722892,0.9681978798586572,0.8814432989690723,0.8037974683544303,0.7286821705426357,0.5463917525773196,0.39583333333333337,0.1794871794871795,0.1038961038961039,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.9944444444444444,0.9999999999999999,0.9961977186311787,0.997319034852547,0.9942857142857143,0.997275204359673,0.9789156626506025,0.9752650176678446,0.9484536082474228,0.8987341772151898,0.8139534883720931,0.7216494845360826,0.5520833333333334,0.3205128205128205,0.14285714285714285,0.09210526315789473,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
