,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.07142857142857142,0.2857142857142857,0.08333333333333333,0.07142857142857142,0.0975609756097561,0.03389830508474576,0.023255813953488372,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.09523809523809523,0.375,0.14285714285714285,0.24390243902439024,0.0847457627118644,0.03488372093023256,0.015384615384615385,0.01834862385321101,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.047619047619047616,0.125,0.23809523809523808,0.0975609756097561,0.0847457627118644,0.03488372093023256,0.046153846153846156,0.01834862385321101,0.012903225806451613,0.004761904761904762,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.05263157894736842,0.0,0.047619047619047616,0.041666666666666664,0.19047619047619047,0.12195121951219512,0.15254237288135594,0.1744186046511628,0.06153846153846154,0.05504587155963303,0.012903225806451613,0.0,0.004273504273504274,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.07142857142857142,0.0,0.08333333333333333,0.023809523809523808,0.024390243902439025,0.2033898305084746,0.26744186046511625,0.15384615384615385,0.10091743119266056,0.03870967741935484,0.014285714285714285,0.004273504273504274,0.004219409282700422,0.004032258064516129,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.047619047619047616,0.041666666666666664,0.14285714285714285,0.0975609756097561,0.23728813559322035,0.2441860465116279,0.23076923076923078,0.21100917431192662,0.08387096774193549,0.03333333333333333,0.021367521367521368,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12195121951219512,0.06779661016949153,0.08139534883720931,0.23076923076923078,0.23853211009174313,0.11612903225806452,0.04285714285714286,0.029914529914529916,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0847457627118644,0.03488372093023256,0.13076923076923078,0.1926605504587156,0.23225806451612904,0.19523809523809524,0.08974358974358974,0.029535864978902954,0.012096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.023255813953488372,0.038461538461538464,0.10091743119266056,0.3225806451612903,0.3047619047619048,0.1752136752136752,0.07172995780590717,0.04838709677419355,0.00819672131147541,0.009900990099009901,0.008438818565400843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.046153846153846156,0.01834862385321101,0.12258064516129032,0.21428571428571427,0.3333333333333333,0.1940928270042194,0.125,0.012295081967213115,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
