"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","17-Oct-2018","        572.80","        578.05","        579.50","        552.10","        555.00","        554.65","        566.05","    5020576","          2841879590.55","      71901","    1072671","         21.37"
"TATASTEEL","EQ","19-Oct-2018","        554.65","        553.00","        562.60","        545.00","        557.20","        554.95","        555.07","    7718196","          4284148301.80","     103398","    1918577","         24.86"
"TATASTEEL","EQ","22-Oct-2018","        554.95","        559.00","        561.20","        541.55","        545.00","        544.75","        548.89","    5101951","          2800429555.85","      77825","     879231","         17.23"
"TATASTEEL","EQ","23-Oct-2018","        544.75","        540.00","        550.00","        535.15","        550.00","        545.60","        541.92","    4634688","          2511637930.35","      63112","     411563","          8.88"
"TATASTEEL","EQ","24-Oct-2018","        545.60","        552.00","        554.60","        541.40","        549.00","        550.05","        547.68","    4219617","          2311018676.20","      59000","     640391","         15.18"
"TATASTEEL","EQ","25-Oct-2018","        550.05","        544.70","        550.60","        540.00","        548.00","        545.75","        544.71","    4467859","          2433677154.25","      52409","    1032001","         23.10"
"TATASTEEL","EQ","26-Oct-2018","        545.75","        547.60","        561.60","        541.10","        551.60","        551.55","        552.73","    6099413","          3371320247.20","      94931","    1039119","         17.04"
"TATASTEEL","EQ","29-Oct-2018","        551.55","        556.50","        575.50","        552.30","        572.85","        573.70","        563.38","    5738313","          3232879289.60","      85437","    1637981","         28.54"
"TATASTEEL","EQ","30-Oct-2018","        573.70","        571.25","        572.00","        563.10","        564.15","        564.50","        567.34","    4015319","          2278048526.00","      55234","     996342","         24.81"
"TATASTEEL","EQ","31-Oct-2018","        564.50","        554.95","        557.80","        529.35","        553.00","        553.85","        544.59","   14070333","          7662509430.60","     168203","    3257666","         23.15"
"TATASTEEL","EQ","01-Nov-2018","        553.85","        555.80","        563.90","        554.00","        556.20","        556.60","        558.40","    5469057","          3053935038.85","      93560","    1275483","         23.32"
"TATASTEEL","EQ","02-Nov-2018","        556.60","        561.00","        582.40","        560.65","        574.90","        574.05","        574.39","    7979457","          4583304685.85","     129208","    2123390","         26.61"
"TATASTEEL","EQ","05-Nov-2018","        574.05","        574.00","        583.60","        567.50","        576.90","        577.45","        577.23","    4535856","          2618235298.15","      79045","     840355","         18.53"
"TATASTEEL","EQ","06-Nov-2018","        577.45","        579.60","        584.40","        570.00","        576.50","        575.75","        577.08","    3910274","          2256529051.05","      64227","     762159","         19.49"
"TATASTEEL","EQ","07-Nov-2018","        575.75","        581.00","        582.25","        579.00","        580.00","        580.25","        580.21","     413871","           240131504.65","       7892","      93648","         22.63"
"TATASTEEL","EQ","09-Nov-2018","        580.25","        579.35","        579.35","        568.45","        572.00","        572.20","        572.83","    4348716","          2491071685.90","      82706","    1223625","         28.14"
"TATASTEEL","EQ","12-Nov-2018","        572.20","        573.55","        589.70","        572.15","        583.25","        582.85","        581.62","    8120996","          4723303908.15","     110663","    1686579","         20.77"
"TATASTEEL","EQ","13-Nov-2018","        582.85","        583.00","        591.50","        579.10","        591.30","        589.20","        586.61","    7626487","          4473748725.35","      99299","    1573057","         20.63"
"TATASTEEL","EQ","14-Nov-2018","        589.20","        605.00","        610.60","        584.30","        584.50","        589.10","        600.62","   21649289","         13002993782.90","     259305","    5101298","         23.56"
"TATASTEEL","EQ","15-Nov-2018","        589.10","        590.30","        596.90","        581.45","        587.20","        589.35","        589.50","    6389521","          3766615660.60","      85281","     899736","         14.08"
"TATASTEEL","EQ","16-Nov-2018","        589.35","        590.00","        591.00","        569.55","        574.60","        574.10","        578.47","    7456927","          4313576069.00","     112947","    2332464","         31.28"
"TATASTEEL","EQ","19-Nov-2018","        574.10","        577.45","        583.80","        574.00","        582.30","        582.40","        580.75","    4889287","          2839467135.75","      66145","    1459561","         29.85"
"TATASTEEL","EQ","20-Nov-2018","        582.40","        577.00","        578.00","        562.00","        563.25","        563.30","        568.23","    7636368","          4339181799.85","     114174","    2539505","         33.26"
"TATASTEEL","EQ","21-Nov-2018","        563.30","        562.00","        562.00","        550.00","        551.40","        551.40","        553.85","   11242898","          6226910909.95","     141022","    5698683","         50.69"
"TATASTEEL","EQ","22-Nov-2018","        551.40","        552.00","        553.60","        538.15","        539.10","        539.65","        544.90","    8541612","          4654299226.10","     108794","    2174246","         25.45"
"TATASTEEL","EQ","26-Nov-2018","        539.65","        544.00","        544.00","        521.65","        530.65","        530.70","        530.51","   10003787","          5307158211.80","     128346","    2124949","         21.24"
"TATASTEEL","EQ","27-Nov-2018","        530.70","        529.70","        529.90","        512.50","        521.60","        522.30","        521.78","   15790907","          8239311433.70","     199637","    2921943","         18.50"
"TATASTEEL","EQ","28-Nov-2018","        522.30","        522.30","        528.90","        518.65","        525.60","        523.95","        524.58","   11352466","          5955236584.15","     131272","    4334549","         38.18"
"TATASTEEL","EQ","29-Nov-2018","        523.95","        532.00","        538.85","        529.15","        532.00","        533.55","        534.23","   13929332","          7441497368.95","     123174","    4938118","         35.45"
"TATASTEEL","EQ","30-Nov-2018","        533.55","        535.00","        536.80","        525.50","        528.30","        529.50","        530.52","    7854071","          4166768469.70","      95969","    1998299","         25.44"
"TATASTEEL","EQ","03-Dec-2018","        529.50","        541.20","        552.70","        535.75","        538.10","        538.10","        542.85","   12092365","          6564369904.80","     113717","    4550472","         37.63"
"TATASTEEL","EQ","04-Dec-2018","        538.10","        532.70","        540.50","        532.15","        538.00","        538.20","        536.67","    6153810","          3302580735.00","      78154","    1603762","         26.06"
"TATASTEEL","EQ","05-Dec-2018","        538.20","        533.00","        533.00","        515.00","        516.50","        517.70","        522.85","    7078082","          3700757620.35","      93238","    1465186","         20.70"
"TATASTEEL","EQ","06-Dec-2018","        517.70","        513.25","        521.70","        501.00","        510.70","        510.20","        511.73","   12966714","          6635510294.00","     184271","    2020359","         15.58"
"TATASTEEL","EQ","07-Dec-2018","        510.20","        510.70","        514.90","        503.20","        509.00","        509.30","        507.88","    8252927","          4191513366.00","     104364","    1497432","         18.14"
"TATASTEEL","EQ","10-Dec-2018","        509.30","        499.40","        509.50","        497.00","        502.45","        502.85","        504.29","    5414705","          2730566748.10","      79142","    1020570","         18.85"
"TATASTEEL","EQ","11-Dec-2018","        502.85","        495.60","        503.70","        486.15","        503.00","        500.75","        496.44","   11242572","          5581318087.60","     145030","    2758835","         24.54"
"TATASTEEL","EQ","12-Dec-2018","        500.75","        506.00","        522.50","        505.50","        520.75","        520.25","        516.49","    8141983","          4205218998.65","      97242","    1297913","         15.94"
"TATASTEEL","EQ","13-Dec-2018","        520.25","        528.05","        528.05","        508.00","        511.15","        512.25","        517.67","    6810095","          3525403821.60","      92231","    1175771","         17.27"
"TATASTEEL","EQ","14-Dec-2018","        512.25","        511.00","        517.80","        506.50","        513.50","        513.55","        513.17","    5155980","          2645889314.20","      70055","     577069","         11.19"
"TATASTEEL","EQ","17-Dec-2018","        513.55","        518.00","        525.25","        516.40","        524.00","        524.00","        521.29","    4804854","          2504702284.55","      64696","     913681","         19.02"
"TATASTEEL","EQ","18-Dec-2018","        524.00","        523.00","        528.40","        519.60","        527.00","        527.00","        525.37","    5673527","          2980727010.00","      80553","     697939","         12.30"
"TATASTEEL","EQ","19-Dec-2018","        527.00","        527.90","        532.45","        524.60","        527.00","        527.40","        528.51","    4928043","          2604508634.25","      83332","     874345","         17.74"
"TATASTEEL","EQ","20-Dec-2018","        527.40","        520.00","        527.00","        520.00","        523.15","        523.35","        523.70","    3517335","          1842044891.70","      55311","     597863","         17.00"
"TATASTEEL","EQ","21-Dec-2018","        523.35","        524.15","        532.00","        518.30","        520.20","        520.20","        524.35","    5969670","          3130190247.50","      77299","    1008885","         16.90"
"TATASTEEL","EQ","24-Dec-2018","        520.20","        518.00","        520.70","        512.00","        514.00","        513.70","        515.55","    4329440","          2232059147.80","      56693","     504200","         11.65"
"TATASTEEL","EQ","26-Dec-2018","        513.70","        509.00","        517.30","        504.40","        513.45","        513.45","        509.97","    4953741","          2526260383.70","      68440","     552265","         11.15"
"TATASTEEL","EQ","27-Dec-2018","        513.45","        518.00","        519.80","        504.95","        506.50","        506.50","        511.68","    5016931","          2567051750.90","      62558","    1752813","         34.94"
"TATASTEEL","EQ","28-Dec-2018","        506.50","        508.20","        516.45","        508.05","        512.35","        512.85","        513.50","    6307408","          3238832364.25","      64362","    1867311","         29.61"
"TATASTEEL","EQ","31-Dec-2018","        512.85","        520.00","        525.00","        516.20","        521.00","        521.05","        522.48","    7965812","          4161995840.75","      83861","    1587779","         19.93"
"TATASTEEL","EQ","01-Jan-2019","        521.05","        524.00","        524.50","        513.55","        515.60","        515.75","        516.59","    4128173","          2132591489.60","      41467","     718976","         17.42"
"TATASTEEL","EQ","02-Jan-2019","        515.75","        506.00","        506.80","        492.00","        492.50","        493.65","        499.63","   11747350","          5869348356.35","     148301","    3527471","         30.03"
"TATASTEEL","EQ","03-Jan-2019","        493.65","        493.00","        493.15","        480.25","        480.90","        481.25","        485.96","   13532944","          6576516802.65","     165809","    3565334","         26.35"
"TATASTEEL","EQ","04-Jan-2019","        481.25","        481.00","        492.85","        479.55","        492.70","        487.65","        484.60","   10480072","          5078693051.95","     128696","    3118466","         29.76"
"TATASTEEL","EQ","07-Jan-2019","        487.65","        495.40","        501.00","        483.90","        485.65","        485.50","        492.72","    8406787","          4142180744.25","      90648","    2161511","         25.71"
"TATASTEEL","EQ","08-Jan-2019","        485.50","        485.65","        493.35","        483.80","        490.80","        491.35","        489.72","    6269706","          3070402907.40","      87870","    1620177","         25.84"
"TATASTEEL","EQ","09-Jan-2019","        491.35","        488.95","        497.30","        475.25","        479.20","        479.20","        481.68","   12696660","          6115729117.85","     180954","    2699082","         21.26"
"TATASTEEL","EQ","10-Jan-2019","        479.20","        480.00","        484.15","        477.50","        479.60","        480.40","        480.94","    7081000","          3405518974.05","      97814","    1972119","         27.85"
"TATASTEEL","EQ","11-Jan-2019","        480.40","        483.95","        484.25","        472.00","        473.30","        474.20","        479.15","    7540824","          3613159030.65","     105075","    2345667","         31.11"
"TATASTEEL","EQ","14-Jan-2019","        474.20","        474.20","        474.40","        466.80","        470.55","        470.85","        470.17","    5889917","          2769278642.20","      69991","    1767424","         30.01"
"TATASTEEL","EQ","15-Jan-2019","        470.85","        473.00","        476.50","        469.00","        474.35","        475.05","        472.85","    7603181","          3595126273.25","      99231","    2583725","         33.98"
"TATASTEEL","EQ","16-Jan-2019","        475.05","        476.10","        479.90","        472.70","        474.65","        474.55","        475.96","    5280293","          2513183647.45","      72370","    1401232","         26.54"
"TATASTEEL","EQ","17-Jan-2019","        474.55","        476.30","        478.25","        470.50","        471.55","        473.15","        474.25","    4281935","          2030725755.30","      64638","     910522","         21.26"
"TATASTEEL","EQ","18-Jan-2019","        473.15","        473.55","        477.70","        468.00","        471.05","        470.65","        472.71","    4914849","          2323281912.85","      80750","    1199141","         24.40"
"TATASTEEL","EQ","21-Jan-2019","        470.65","        473.00","        477.50","        470.10","        470.80","        471.70","        473.13","    4613690","          2182892635.75","      50269","     724380","         15.70"
"TATASTEEL","EQ","22-Jan-2019","        471.70","        470.70","        470.70","        455.00","        456.30","        456.55","        459.47","    8957766","          4115802035.60","     109487","    2243126","         25.04"
"TATASTEEL","EQ","23-Jan-2019","        456.55","        457.00","        467.85","        457.00","        463.10","        464.60","        463.68","    7259386","          3366035255.25","      76802","    1392180","         19.18"
"TATASTEEL","EQ","24-Jan-2019","        464.60","        464.50","        464.50","        457.20","        460.25","        460.75","        460.34","    4790846","          2205431806.25","      57522","    1008392","         21.05"
"TATASTEEL","EQ","25-Jan-2019","        460.75","        462.20","        465.80","        451.20","        453.50","        452.90","        458.74","    4157967","          1907428570.30","      56735","     831615","         20.00"
"TATASTEEL","EQ","28-Jan-2019","        452.90","        452.90","        453.95","        443.30","        447.00","        445.70","        446.99","    4335147","          1937777379.35","      60538","     817578","         18.86"
"TATASTEEL","EQ","29-Jan-2019","        445.70","        444.00","        452.15","        441.35","        444.70","        443.80","        447.03","    5225724","          2336071743.45","      74629","    1545789","         29.58"
"TATASTEEL","EQ","30-Jan-2019","        443.80","        446.70","        471.40","        446.70","        468.70","        467.45","        461.11","   10857925","          5006670902.85","     141215","    3304563","         30.43"
"TATASTEEL","EQ","31-Jan-2019","        467.45","        472.05","        478.90","        467.65","        477.30","        476.70","        474.40","    9243729","          4385227307.55","     105785","    3042415","         32.91"
"TATASTEEL","EQ","01-Feb-2019","        476.70","        477.00","        482.00","        470.00","        475.00","        474.70","        475.07","    5015994","          2382933864.05","      67779","    1083424","         21.60"
"TATASTEEL","EQ","04-Feb-2019","        474.70","        474.90","        478.60","        452.00","        474.75","        476.05","        462.06","   10972029","          5069695126.20","     127330","    1720797","         15.68"
"TATASTEEL","EQ","05-Feb-2019","        476.05","        477.00","        477.00","        459.45","        464.70","        464.70","        469.63","    7281927","          3419782399.70","      87463","    1356399","         18.63"
"TATASTEEL","EQ","06-Feb-2019","        464.70","        466.00","        486.70","        463.80","        484.85","        485.10","        477.98","   10999265","          5257387351.25","     165202","    3590380","         32.64"
"TATASTEEL","EQ","07-Feb-2019","        485.10","        483.45","        491.40","        478.10","        488.20","        489.05","        486.31","    7857338","          3821106588.00","     103008","    1791138","         22.80"
"TATASTEEL","EQ","08-Feb-2019","        489.05","        483.00","        487.75","        465.95","        468.70","        468.75","        477.99","    8414514","          4022025585.45","      93170","    1992658","         23.68"
"TATASTEEL","EQ","11-Feb-2019","        468.75","        475.00","        487.00","        460.30","        479.75","        480.70","        475.08","   23262314","         11051425898.10","     235446","    1799162","          7.73"
"TATASTEEL","EQ","12-Feb-2019","        480.70","        478.40","        497.20","        476.70","        486.55","        487.40","        489.80","   18836111","          9225953102.25","     201556","    2898188","         15.39"
"TATASTEEL","EQ","13-Feb-2019","        487.40","        490.00","        493.35","        481.95","        483.00","        484.00","        486.96","    8403265","          4092090883.70","     100005","     962123","         11.45"
"TATASTEEL","EQ","14-Feb-2019","        484.00","        482.00","        486.35","        475.40","        482.50","        482.55","        480.49","    6185042","          2971847337.80","      70078","     466600","          7.54"
"TATASTEEL","EQ","15-Feb-2019","        482.55","        483.00","        483.40","        462.65","        467.25","        467.50","        469.82","    7499240","          3523271517.45","     106511","    1777213","         23.70"
"TATASTEEL","EQ","18-Feb-2019","        467.50","        468.90","        477.00","        464.40","        465.60","        465.55","        471.17","    6253514","          2946442373.25","      77788","     451776","          7.22"
"TATASTEEL","EQ","19-Feb-2019","        465.55","        465.40","        480.60","        465.40","        469.95","        470.95","        472.77","    8224545","          3888335059.30","     104247","    1351835","         16.44"
"TATASTEEL","EQ","20-Feb-2019","        470.95","        472.50","        493.85","        472.50","        493.70","        491.15","        486.20","   15487251","          7529873006.65","     166170","    3221272","         20.80"
"TATASTEEL","EQ","21-Feb-2019","        491.15","        492.55","        502.90","        490.35","        497.85","        498.85","        497.47","   11782714","          5861544729.35","     142866","    1757913","         14.92"
"TATASTEEL","EQ","22-Feb-2019","        498.85","        497.00","        504.00","        492.10","        502.00","        502.30","        498.74","   10005723","          4990238088.90","     104520","    1239870","         12.39"
"TATASTEEL","EQ","25-Feb-2019","        502.30","        504.00","        509.50","        498.25","        504.00","        505.10","        503.95","   10357604","          5219729441.65","     118263","    2019970","         19.50"
"TATASTEEL","EQ","26-Feb-2019","        505.10","        498.00","        508.60","        491.70","        504.00","        503.60","        501.07","    9856299","          4938691662.60","     116684","    2288363","         23.22"
"TATASTEEL","EQ","27-Feb-2019","        503.60","        507.00","        512.30","        497.95","        506.50","        507.10","        506.11","    9444346","          4779884389.60","     115380","    2327647","         24.65"
"TATASTEEL","EQ","28-Feb-2019","        507.10","        506.60","        511.00","        498.30","        499.50","        500.45","        505.61","    7485418","          3784668424.00","     106395","    1779421","         23.77"
"TATASTEEL","EQ","01-Mar-2019","        500.45","        503.50","        509.70","        502.00","        507.60","        507.60","        506.61","    6672569","          3380392882.00","      76965","    1879267","         28.16"
"TATASTEEL","EQ","05-Mar-2019","        507.60","        508.40","        522.90","        505.20","        520.20","        521.75","        516.70","    9118037","          4711295937.15","     145373","    3236261","         35.49"
"TATASTEEL","EQ","06-Mar-2019","        521.75","        522.90","        525.35","        515.45","        519.30","        520.85","        520.32","    6311227","          3283846067.60","      80775","    1545004","         24.48"
"TATASTEEL","EQ","07-Mar-2019","        520.85","        519.85","        523.20","        513.55","        521.50","        521.15","        519.23","    6153631","          3195129310.35","      95637","     976241","         15.86"
"TATASTEEL","EQ","08-Mar-2019","        521.15","        516.80","        518.60","        506.30","        508.20","        507.85","        512.27","    6504847","          3332249496.15","      72160","    1503417","         23.11"
"TATASTEEL","EQ","11-Mar-2019","        507.85","        510.00","        522.40","        509.50","        521.00","        520.65","        517.56","    5908275","          3057897512.60","      65754","    1383100","         23.41"
"TATASTEEL","EQ","12-Mar-2019","        520.65","        524.40","        530.50","        521.00","        523.00","        525.15","        525.59","    8298275","          4361456393.15","     120907","    2858036","         34.44"
"TATASTEEL","EQ","13-Mar-2019","        525.15","        525.00","        525.00","        512.60","        514.10","        513.75","        515.94","    6409153","          3306762312.55","      70001","    1807863","         28.21"
"TATASTEEL","EQ","14-Mar-2019","        513.75","        513.95","        521.80","        513.50","        517.15","        517.65","        517.30","    4496642","          2326110205.30","      50936","     387305","          8.61"
"TATASTEEL","EQ","15-Mar-2019","        517.65","        518.00","        520.95","        512.45","        514.50","        515.45","        515.71","    4233938","          2183486135.30","      49251","     925195","         21.85"
"TATASTEEL","EQ","18-Mar-2019","        515.45","        519.50","        526.75","        515.25","        526.00","        525.20","        521.14","    6317605","          3292373248.05","      99756","    1784338","         28.24"
"TATASTEEL","EQ","19-Mar-2019","        525.20","        527.80","        531.90","        520.65","        526.70","        527.50","        527.59","    6329840","          3339572274.25","      94609","    1949562","         30.80"
"TATASTEEL","EQ","20-Mar-2019","        527.50","        526.05","        526.25","        511.05","        513.80","        513.60","        516.34","    8702307","          4493392411.00","      95909","    3486328","         40.06"
"TATASTEEL","EQ","22-Mar-2019","        513.60","        517.00","        524.00","        515.60","        517.30","        518.40","        519.72","    5233446","          2719921643.10","      86359","    1058626","         20.23"
"TATASTEEL","EQ","25-Mar-2019","        518.40","        512.80","        517.70","        507.05","        515.90","        515.15","        511.83","    5036887","          2578017967.40","      60059","    1123624","         22.31"
"TATASTEEL","EQ","26-Mar-2019","        515.15","        516.00","        520.95","        514.15","        519.55","        519.35","        517.48","    3329825","          1723110472.30","      41880","     621663","         18.67"
"TATASTEEL","EQ","27-Mar-2019","        519.35","        520.00","        523.00","        513.05","        514.00","        515.80","        517.31","    5239158","          2710244403.80","      75257","    2276507","         43.45"
"TATASTEEL","EQ","28-Mar-2019","        515.80","        514.40","        516.45","        504.80","        505.00","        506.30","        508.59","    8965093","          4559529165.30","      81956","    5946879","         66.33"
"TATASTEEL","EQ","29-Mar-2019","        506.30","        510.00","        525.00","        508.05","        520.65","        521.00","        519.00","   11965611","          6210111239.75","     124103","    4941118","         41.29"
"TATASTEEL","EQ","01-Apr-2019","        521.00","        530.00","        544.00","        528.10","        534.10","        535.15","        537.14","   13523554","          7264014512.05","     155633","    4691342","         34.69"
"TATASTEEL","EQ","02-Apr-2019","        535.15","        538.00","        538.00","        526.05","        532.75","        530.65","        530.72","    5086818","          2699664111.60","      63489","    1058775","         20.81"
"TATASTEEL","EQ","03-Apr-2019","        530.65","        536.90","        547.60","        533.45","        534.50","        535.45","        541.17","   11489680","          6217871338.40","     130492","    2284954","         19.89"
"TATASTEEL","EQ","04-Apr-2019","        535.45","        532.75","        537.40","        526.50","        530.20","        530.65","        531.34","    5259917","          2794818731.60","      70618","     752176","         14.30"
"TATASTEEL","EQ","05-Apr-2019","        530.65","        531.20","        551.00","        531.20","        550.50","        549.30","        543.09","   10037713","          5451399303.15","     143614","    2665915","         26.56"
"TATASTEEL","EQ","08-Apr-2019","        549.30","        553.20","        557.00","        545.80","        548.00","        549.05","        551.18","   10600901","          5843048494.95","     153043","    2808878","         26.50"
"TATASTEEL","EQ","09-Apr-2019","        549.05","        551.00","        555.00","        540.25","        553.60","        553.05","        547.63","    6618936","          3624736847.95","     107560","    1608253","         24.30"
"TATASTEEL","EQ","10-Apr-2019","        553.05","        551.65","        559.40","        541.70","        544.10","        544.40","        552.42","    7889153","          4358137993.05","     107377","    2737719","         34.70"
"TATASTEEL","EQ","11-Apr-2019","        544.40","        541.00","        546.40","        533.50","        537.95","        535.70","        538.89","    6082398","          3277756081.65","      65258","    1528611","         25.13"
"TATASTEEL","EQ","12-Apr-2019","        535.70","        537.00","        542.70","        532.20","        534.00","        533.65","        535.66","    6274016","          3360749919.10","      78725","    1836931","         29.28"
"TATASTEEL","EQ","15-Apr-2019","        533.65","        536.90","        555.00","        536.05","        554.00","        553.15","        548.81","   10390317","          5702306794.60","     122338","    2817344","         27.12"
"TATASTEEL","EQ","16-Apr-2019","        553.15","        553.55","        556.90","        549.15","        553.25","        553.25","        553.45","    6323654","          3499838648.40","      93908","    1056259","         16.70"
"TATASTEEL","EQ","18-Apr-2019","        553.25","        553.50","        554.50","        536.70","        542.60","        543.10","        544.02","    6660522","          3623433385.65","      93931","    2010172","         30.18"
"TATASTEEL","EQ","22-Apr-2019","        543.10","        540.00","        545.75","        533.10","        534.80","        534.20","        538.15","    3697686","          1989903420.45","      49616","     602993","         16.31"
"TATASTEEL","EQ","23-Apr-2019","        534.20","        534.95","        538.50","        521.50","        522.95","        523.35","        528.68","    5119376","          2706527661.15","      62141","    1123510","         21.95"
"TATASTEEL","EQ","24-Apr-2019","        523.35","        526.90","        527.85","        512.70","        524.10","        525.25","        519.91","    8376835","          4355168353.45","      98572","    1811968","         21.63"
"TATASTEEL","EQ","25-Apr-2019","        525.25","        522.00","        529.30","        509.00","        511.00","        510.75","        517.04","    8359418","          4322170635.75","     115112","    3046835","         36.45"
"TATASTEEL","EQ","26-Apr-2019","        510.75","        520.85","        547.75","        515.55","        547.45","        545.25","        538.85","   38181011","         20573655705.90","     428867","    7040544","         18.44"
"TATASTEEL","EQ","30-Apr-2019","        545.25","        543.05","        560.80","        535.70","        559.45","        557.20","        548.94","   14258161","          7826868904.15","     162934","    2386856","         16.74"
"TATASTEEL","EQ","02-May-2019","        557.20","        554.10","        561.65","        549.45","        554.35","        554.95","        555.51","    9010030","          5005135551.40","     114709","    1224363","         13.59"
"TATASTEEL","EQ","03-May-2019","        554.95","        554.00","        556.00","        546.60","        547.70","        547.80","        549.60","    5879636","          3231425136.45","      96078","     986526","         16.78"
"TATASTEEL","EQ","06-May-2019","        547.80","        534.25","        543.50","        527.45","        536.50","        535.95","        535.78","    9964839","          5338912267.05","     124010","    2247508","         22.55"
"TATASTEEL","EQ","07-May-2019","        535.95","        544.95","        544.95","        529.00","        530.65","        530.60","        537.18","    6541498","          3513956300.05","      73292","    1146804","         17.53"
"TATASTEEL","EQ","08-May-2019","        530.60","        531.25","        532.40","        521.60","        523.00","        522.65","        526.48","    6478432","          3410771509.90","      78043","    1500777","         23.17"
"TATASTEEL","EQ","09-May-2019","        522.65","        522.55","        526.40","        516.35","        520.00","        519.15","        521.41","    5105597","          2662130799.70","      62178","     669693","         13.12"
"TATASTEEL","EQ","10-May-2019","        519.15","        522.00","        525.75","        479.05","        486.95","        486.80","        492.86","   37240921","         18354716011.20","     350583","    8034762","         21.58"
"TATASTEEL","EQ","13-May-2019","        486.80","        480.10","        488.00","        463.40","        467.30","        472.30","        479.33","   15956920","          7648655668.90","     170957","    2808226","         17.60"
"TATASTEEL","EQ","14-May-2019","        472.30","        466.95","        477.60","        456.30","        470.50","        469.55","        466.19","   21128606","          9849975646.20","     187046","    4669899","         22.10"
"TATASTEEL","EQ","15-May-2019","        469.55","        473.05","        480.95","        460.65","        461.10","        462.95","        472.71","   12665057","          5986859589.00","     125141","    1626512","         12.84"
"TATASTEEL","EQ","16-May-2019","        462.95","        463.95","        471.30","        455.15","        468.50","        469.25","        464.02","   11254731","          5222376276.05","     121763","    1847777","         16.42"
"TATASTEEL","EQ","17-May-2019","        469.25","        465.05","        471.50","        461.00","        469.50","        469.45","        466.33","    7088486","          3305586037.80","      92432","    1304974","         18.41"
"TATASTEEL","EQ","20-May-2019","        469.45","        478.00","        494.75","        476.65","        483.80","        483.80","        486.54","    8457583","          4114946452.40","     116375","    2211199","         26.14"
"TATASTEEL","EQ","21-May-2019","        483.80","        484.85","        484.90","        468.75","        472.10","        472.55","        473.75","    6337058","          3002158713.00","      81428","    1644742","         25.95"
"TATASTEEL","EQ","22-May-2019","        472.55","        472.00","        480.55","        467.40","        472.95","        473.00","        473.55","    8364224","          3960859318.80","     100356","    1881426","         22.49"
"TATASTEEL","EQ","23-May-2019","        473.00","        477.60","        486.50","        462.05","        463.45","        464.70","        476.04","    9340376","          4446385165.05","     127244","    2222503","         23.79"
"TATASTEEL","EQ","24-May-2019","        464.70","        465.00","        486.30","        458.40","        484.25","        484.15","        474.52","   10882481","          5163919946.75","     148080","    2808176","         25.80"
"TATASTEEL","EQ","27-May-2019","        484.15","        484.50","        514.30","        483.55","        512.25","        512.55","        505.45","   18207705","          9203120448.60","     254636","    3566814","         19.59"
"TATASTEEL","EQ","28-May-2019","        512.55","        514.10","        518.60","        505.20","        506.20","        507.05","        511.45","    9960613","          5094352939.70","     115621","    2690801","         27.01"
"TATASTEEL","EQ","29-May-2019","        507.05","        505.70","        511.75","        491.85","        492.55","        493.30","        500.61","    8523687","          4267080580.35","      98810","    1397849","         16.40"
"TATASTEEL","EQ","30-May-2019","        493.30","        493.00","        496.45","        486.00","        488.00","        487.95","        489.77","    7204363","          3528449986.25","      78231","    1732957","         24.05"
"TATASTEEL","EQ","31-May-2019","        487.95","        490.80","        494.75","        481.05","        487.10","        488.30","        486.86","   10276991","          5003502168.20","     116210","    3328195","         32.38"
